            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453799.500000000, A.D. 2006-Mar-05 00:00:00.0000, -6.288015342405629E+08, -5.143070429274457E+08,  1.620588557997364E+07,  8.116578340104303E+00, -9.506226987761611E+00, -1.421073787814136E-01,  2.710227742464368E+03,  8.125058366531839E+08, -2.669524176990472E-01,
2453800.500000000, A.D. 2006-Mar-06 00:00:00.0000, -6.280997801356039E+08, -5.151279774779900E+08,  1.619358856467995E+07,  8.129034750594975E+00, -9.497500929046558E+00, -1.425492033264386E-01,  2.710151103685949E+03,  8.124828609254234E+08, -2.655131429990817E-01,
2453801.500000000, A.D. 2006-Mar-07 00:00:00.0000, -6.273967649974216E+08, -5.159480509397805E+08,  1.618125971601656E+07,  8.143391415128862E+00, -9.485449494422207E+00, -1.428496905301246E-01,  2.710074177737522E+03,  8.124597991062605E+08, -2.676436904407868E-01,
2453802.500000000, A.D. 2006-Mar-08 00:00:00.0000, -6.266925761864874E+08, -5.167671731389631E+08,  1.616890050316969E+07,  8.158210604603516E+00, -9.475052998599383E+00, -1.432042492429275E-01,  2.709997000377272E+03,  8.124366619157292E+08, -2.690783576715990E-01,
2453803.500000000, A.D. 2006-Mar-09 00:00:00.0000, -6.259871546396141E+08, -5.175852093316908E+08,  1.615651714541620E+07,  8.169967620073599E+00, -9.461993043178008E+00, -1.434985390295078E-01,  2.709919134431599E+03,  8.124133182924813E+08, -2.698448753970425E-01,
2453804.500000000, A.D. 2006-Mar-10 00:00:00.0000, -6.252806780519227E+08, -5.184023168565069E+08,  1.614410182602823E+07,  8.184160587918655E+00, -9.451492582066564E+00, -1.438490540658313E-01,  2.709841370206896E+03,  8.123900051644133E+08, -2.708602294240277E-01,
2453805.500000000, A.D. 2006-Mar-11 00:00:00.0000, -6.245730727775189E+08, -5.192184036338931E+08,  1.613165856555209E+07,  8.195662772495748E+00, -9.440577387680348E+00, -1.442314393864645E-01,  2.709763322639974E+03,  8.123666070924848E+08, -2.700695118084694E-01,
2453806.500000000, A.D. 2006-Mar-12 00:00:00.0000, -6.238643294153020E+08, -5.200336081213885E+08,  1.611918223398811E+07,  8.209810176806444E+00, -9.428909242128000E+00, -1.445448691472770E-01,  2.709685262521705E+03,  8.123432052577573E+08, -2.717914920751515E-01,
2453807.500000000, A.D. 2006-Mar-13 00:00:00.0000, -6.231545341076983E+08, -5.208478446480181E+08,  1.610667504323372E+07,  8.221762953779360E+00, -9.420077712285167E+00, -1.449904378911673E-01,  2.709607228275659E+03,  8.123198111793268E+08, -2.700131167486899E-01,
2453808.500000000, A.D. 2006-Mar-14 00:00:00.0000, -6.224434935186510E+08, -5.216612569580880E+08,  1.609413446119288E+07,  8.236537572112116E+00, -9.408368638308049E+00, -1.452971598041661E-01,  2.709529032983300E+03,  8.122963688204265E+08, -2.722359124245524E-01,
2453809.500000000, A.D. 2006-Mar-15 00:00:00.0000, -6.217312673097590E+08, -5.224737205049852E+08,  1.608156352028650E+07,  8.251246275938358E+00, -9.398270810436093E+00, -1.456661560994976E-01,  2.709450564588399E+03,  8.122728445874437E+08, -2.733697530378327E-01,
2453810.500000000, A.D. 2006-Mar-16 00:00:00.0000, -6.210177670172613E+08, -5.232851185923892E+08,  1.606896808037475E+07,  8.263714183574672E+00, -9.384803663831354E+00, -1.459379007524810E-01,  2.709371347978915E+03,  8.122490960453722E+08, -2.749529718338616E-01,
2453811.500000000, A.D. 2006-Mar-17 00:00:00.0000, -6.203032017841401E+08, -5.240955543662285E+08,  1.605634184754100E+07,  8.277921352483915E+00, -9.374394133364412E+00, -1.462932862152120E-01,  2.709292138015798E+03,  8.122253494958313E+08, -2.758985102379552E-01,
2453812.500000000, A.D. 2006-Mar-18 00:00:00.0000, -6.195874720845058E+08, -5.249049492057335E+08,  1.604368877696455E+07,  8.289637266088695E+00, -9.362726829638287E+00, -1.466475098901205E-01,  2.709212511993230E+03,  8.122014782148049E+08, -2.757524090645952E-01,
2453813.500000000, A.D. 2006-Mar-19 00:00:00.0000, -6.188706104130235E+08, -5.257134297072682E+08,  1.603100345156184E+07,  8.304040704325571E+00, -9.350974330784801E+00, -1.469575210728964E-01,  2.709132825339654E+03,  8.121775887570595E+08, -2.777099894024218E-01,
2453814.500000000, A.D. 2006-Mar-20 00:00:00.0000, -6.181526802099692E+08, -5.265208846878094E+08,  1.601828932100254E+07,  8.315546006411459E+00, -9.341277914459653E+00, -1.473810584620252E-01,  2.709052999803482E+03,  8.121536576633594E+08, -2.761299293001453E-01,
2453815.500000000, A.D. 2006-Mar-21 00:00:00.0000, -6.174335389075894E+08, -5.273274931110751E+08,  1.600554192141372E+07,  8.330414020038424E+00, -9.329408220435276E+00, -1.476823821007831E-01,  2.708973060398931E+03,  8.121296924327781E+08, -2.785113000190207E-01,
2453816.500000000, A.D. 2006-Mar-22 00:00:00.0000, -6.167132293717535E+08, -5.281331096825235E+08,  1.599276527288184E+07,  8.344501641090345E+00, -9.319056321403188E+00, -1.480542098523925E-01,  2.708892803105491E+03,  8.121056319015052E+08, -2.793111481571656E-01,
2453817.500000000, A.D. 2006-Mar-23 00:00:00.0000, -6.159916574660062E+08, -5.289376545355935E+08,  1.597996391568857E+07,  8.357143487012038E+00, -9.305055561878273E+00, -1.483068744695197E-01,  2.708811817016671E+03,  8.120813528828740E+08, -2.813835605432740E-01,
